id	name	website	start_date	end_date
329118	Craft and Creativity	https://www.vystavydiamantexpo.cz/vystava/remesla-a-kreativita/#1457297284204-150e34e6-27d6	2020-09-04	2020-09-06
102042	Gun Shows Roanoke	https://www.showmastersgunshows.com/roanoke-valley-gun-show-.html	2020-02-22	2020-02-23
71684	The Wedding Experience	https://www.wedding-experience.co.uk/exhibition/kent-event-centre-detling-sunday-26th-january-2020-1030am-300pm	2020-01-26	2020-01-26
251782	Landmark Arts Centre Spring Art Fair	http://www.landmarkartscentre.org/about-fairs/art-fair.php	2020-05-16	2020-05-17
101966	Gun Shows Sedalia	https://rkshows.com/event/sedalia-mo-gun-show-2/	2020-03-07	2020-03-08
353479	Shrewsbury Flea - Antique & Collectors Fair	https://josevents.co.uk/	2020-03-21	2020-03-22
22311	World Wide Antique & Vintage Show	http://www.findyourantique.com/	2020-03-13	2020-03-15
12628	Expo Elettronica - Faenza	https://www.expoelettronica.it/eventi/expo-elettronica-faenza-marzo-29-febbraio-2020	2020-02-29	2020-03-01
366342	Wedding Show Spectacular	https://www.redeventweddingfayres.com/weddingfayresnorthwest/	2020-02-23	2020-02-23
337974	Kettering Park Hotel Wedding Fair	https://silverlinings.co.uk/wedding-fairs/kettering-park-hotel/	2020-03-08	2020-03-08
240167	Frensham Heights Wedding Fair	http://www.prestigeweddingfairs.co.uk/fair_dates.php	2020-02-16	2020-02-16
19512	The Great North Wedding Show	https://www.weddingfairsnortheast.com/fairs/wedding-venues-show-festival-edition-at-newcastle-civic-centre/	2020-02-16	2020-02-16
21992	Once Upon a Time Antiques	https://www.ceraunavoltantiquariato.it/tutti-gli-appuntamenti	2019-11-16	2019-11-17
101620	Wedding Fair Newcastle	https://www.bellebridalmagazine.com/north-east-wedding-fairs/	2020-03-08	2020-03-08
101971	Gun Show Columbus	https://www.cegunshows.com/show-dates.html	2019-12-28	2019-12-29
102046	Monroeville Gun Show	https://www.showmastersgunshows.com/pittsburgh-gun-show-1.html	2019-11-30	2019-12-01
102290	Virginia Beach Gun Show	https://www.sgkshows.com/schedule/	2020-01-18	2020-01-19
105582	Saxet Trade Shows Mcallen	https://saxetshows.com/shows/corpus-christi	2019-11-16	2019-11-17
