id	name	website	start_date	end_date
218260	Center for Advanced Automotive Technology Conference	http://autocaat.org/About_CAAT/CAAT_Conference/	2020-05-09	2020-05-09
56796	Babyfest Northwest Expo	http://www.babyfestnw.com/	2021-03-21	2021-03-21
64633	Original Sewing & Quilt Expo Fredericksburg	http://www.sewingexpo.com/Calendar.aspx	2020-10-01	2020-10-03
149166	Mill Hill Antiques and Collectors Fair	http://marcelfairs.co.uk/our-fairs/	2019-11-02	2019-11-02
230619	Antique Vintage & Collectors Fair Stirling	http://www.scotfairs.co.uk/calendar.htm	2019-11-02	2019-11-02
234342	Wimberley Lions Market Days	http://www.shopmarketdays.com/dates.html	2019-11-02	2019-11-02
276159	Somerset Farmers Markets Axbridge	http://www.somersetfarmersmarkets.co.uk/markets/axbridge/	2019-11-02	2019-11-02
297692	Bloomsbury Coin Fair	http://www.bloomsburycoinfair.com/future-show-dates.php	2019-12-07	2019-12-07
299131	Premier Music Fair Bolton	http://premierfairs.co.uk/	2019-11-30	2019-11-30
345199	Gilbert Art Walk	https://www.gilbertartwalk.com/-vendor-information.html	2019-11-16	2019-11-16
72998	Great American Beer Festival	https://www.greatamericanbeerfestival.com/info/faq/	2020-09-24	2020-09-26
222063	PBFA Book Fair Bury St Edmunds	https://www.pbfa.org/fairs/bury-st-edmunds-2	2020-05-30	2020-05-30
309075	Art in the Park Blowing Rock	https://blowingrock.com/artinthepark/	2020-05-23	2020-05-23
220820	ANNUAL NASW/TEXAS CONFERENCE	https://www.naswtx.org/page/Conf_FutureEvents	2020-10-08	2020-10-10
223988	Toronto Coin Expo - Canada's Coin & Banknote Show	http://www.torontocoinexpo.ca/dates.php	2020-05-01	2020-05-02
241987	Wisconsin Antiques Dealers Association Show and Sale	http://www.wisconsinantiquesdealers.com/	2020-01-31	2020-02-01
235499	IRC Conference	http://www.illinoisreadingcouncil.org/conference/futureircconferences.html	2020-10-01	2020-10-02
273916	Limited Obstetric Ultrasound Course	https://www.jefferson.edu/university/jmc/departments/radiology/jurei/cme_courses/limited_ultrasound.html	2020-01-09	2020-01-11
18939	Fall Craft and Gift Show	https://www.cadybethshows.com/minnesota/	2019-10-26	2019-10-27
73121	MPIRES	https://mpires.ru/en/	2020-03-13	2020-03-14
128128	SANS Northern Virginia	https://www.sans.org/event/northern-va-spring-reston-2020	2020-03-02	2020-03-07
187015	North Bergen Flea Market & Collectible Show	https://www.jcpromotions.info/calendar/event/north-bergen-new-jersey-783	2019-11-02	2019-11-02
223937	New Hampshire Coin & Currency Expo	http://www.ebwpromotions.com/	2020-04-10	2020-04-11
276075	Dubbo Farmers Market	http://www.dubbofarmersmarket.org.au	2019-11-02	2019-11-02
