id	name	website	start_date	end_date
364444	Park & Bark Dog Show	https://www.parkandbarkdogshow.com/	2019-10-19	2019-10-19
145345	Staffordshire Wedding Show	https://whoopwest.com/shows	2020-03-29	2020-03-29
105513	Pioneer Country Events Gun Knife Coin and Collectibles Show Sale	https://pioneercountryevents.com/	2020-01-18	2020-01-19
273179	UGCA Gun Show	http://www.ugca.org/	2020-05-02	2020-05-03
267377	Ukiah Gun Show	http://buckstopgunshows.com/	2020-03-14	2020-03-15
144540	Bride The Wedding Show	https://www.bridetheweddingshow.co.uk/wedding-show/exeter-spring/	2020-03-28	2020-03-29
306230	Madchen Klamotte Mulheim	https://maedchenklamotte.de/	2020-01-12	2020-01-12
198474	Rock around the Jukebox Open-Air Market	https://www.jukeboxfanaat.nl/Rock_around_the_Jukebox_Events/en.html	2020-05-10	2020-05-10
307745	Madchen Klamotte Witten	https://maedchenklamotte.de/	2020-02-16	2020-02-16
326011	Bride Fayre	http://www.bridefayre.com/Venues/Alfreton_Hall/alfreton_hall.html	2020-01-19	2020-01-19
131155	Slidell Newcomers Sell-A-Bration Arts & Crafts Show	http://sell-a-brationcraftshow.webs.com/	2020-10-10	2020-10-11
32272	Bridal & Beauty Expo	https://www.lockettshows.com/reno-bridal-shows	2020-02-09	2020-02-09
279455	Natchez Gun Show	http://www.mississippigunshows.com/	2020-10-10	2020-10-11
305618	Boligmesse Skien	https://boligmesse.no/nb/messeoversikt-2020/	2020-10-09	2020-10-11
305234	Coltsfoot Country Retreat Wedding Show	https://www.mainweddingsandevents.co.uk/Hertfordshire-Wedding-Shows/Coltsfoot-Country-Retreat-Wedding-Show/	2020-03-29	2020-03-29
9452	Second home	https://www.secondhome-expo.com/agenda	2020-02-07	2020-02-09
30862	Great Midwest Train Show	http://greatmidwesttrainshow.com/show-schedule/	2019-11-10	2019-11-10
32644	Toy Fair Stafford	http://www.barrypotterfairs.com/fairs.php?fair=19	2019-12-15	2019-12-15
69563	Wedding Fayres Eastleigh	http://www.weddingexhibitionpromotions.co.uk/Novotel_Southampton.html	2019-11-03	2019-11-03
71625	North Florida Gun & Knife Show Tallahassee	https://northfloridagunshows.com/tallahassee/	2019-11-14	2019-11-15
71913	Springfield Gun Show	http://www.cegunshows.com/springfield--oh.html	2019-11-02	2019-11-03
72350	The Wedding Fayre Essex	https://theweddingfayre.net/	2020-01-19	2020-01-19
101967	Springfield Mo Gun Show	https://rkshows.com/event/springfield-mo-gun-show-december/	2019-12-14	2019-12-15
107260	Oklahoma Gun Shows	http://oklahomagunshows.com/Gun-Shows/Oklahoma-Gun-Shows.asp	2019-11-30	2019-12-01
112650	Central Indiana Gun & Knife Show	http://www.centralindianagunshows.com/show-dates--info.html	2019-12-14	2019-12-15
172726	Antiques & Vintage	http://ccevents.net/wp/?event=antiques-vintage-penrith-22	2019-12-08	2019-12-08
186697	Lewisville Gun Show	http://www.premiergunshows.com/shows/dfw-lewisville-gun-show/	2019-11-09	2019-11-10
187336	Gun & Knife Show Greenville	https://www.scgunshows.com/greenville-show	2019-12-21	2019-12-22
187848	Picc A Dilly Flea Market	http://www.piccadillyflea.com/	2019-11-03	2019-11-03
201632	Shepton Giant Flea And Collectors Market	http://www.sheptonflea.com/	2019-11-24	2019-11-24
218665	Bloomsbury Book Fair	https://etcfairs.com/	2019-11-10	2019-11-10
230440	Grayslake Illinois Antique Vintage Flea Market	https://zurkopromotions.com/grayslake-chicago-illinois-antique-vintage-flea-market/	2019-11-09	2019-11-10
230702	Midland Coin Fair	https://www.coinfairs.co.uk/events/midland-show-2019-10-13/	2019-11-10	2019-11-10
232152	Sacramento Antique Faire	http://www.sacantiquefaire.com/dates-times/	2019-11-10	2019-11-10
234215	Gun & Knife Shows Fort Wayne	http://www.cpishows.com/	2019-11-30	2019-12-01
234257	Antiques & Collectables Fair	http://www.newcomenfairs.co.uk/antiquefair.htm	2019-11-10	2019-11-10
235906	Kinver Antiques Collectors & Vintage Fair	https://roman-fairs7.webnode.com/look-book/	2019-11-10	2019-11-10
244332	West Suburban Coin Show And Collectible Expo	http://www.westsuburbancoinshow.com/	2019-11-10	2019-11-10
246084	Indoor Shawano Wisconsin Flea Markets	https://zurkopromotions.com/event/indoor-shawano-wisconsin-flea-market/2020-01-04/	2020-01-04	2020-01-04
251871	Wedding Fayre	http://www.weddingfayreslancashire.com/	2020-02-16	2020-02-16
267075	Gun & Knife Show Wilmington	http://ncgunshows.com/schedule/	2019-12-14	2019-12-15
272657	Chatham Militaria Fairs	http://www.chathammilitariafairs.co.uk/index.php?	2019-11-10	2019-11-10
275765	Street Coin Show Indianapolis	https://fubacoins.com/pages/coin-shows	2019-11-10	2019-11-10
275828	Greater Worcester Coin Show	http://www.ebwpromotions.com/auburn/schedule.html	2019-12-08	2019-12-08
277015	Camelback Collectibles Coin Show	https://camelbackcollectables.com/	2019-11-10	2019-11-10
278934	Greater Atlanta Coin Show	http://atlcoin.com/Monthly-Greater-Atlanta-Coin-Show-Dates.html	2019-11-10	2019-11-10
283802	Toy Fairs	https://srptoyfairs1.co.uk/	2019-11-10	2019-11-10
292160	International Conference on Business Economics Social Science & Humanities	https://academicfora.com/bessh-sydney-australia-november-09-10-2019/	2019-11-09	2019-11-10
298190	Belleville Flea Market	https://bcfairgrounds.net/event/belleville-flea-market-november/	2019-11-16	2019-11-17
299130	Premier Music Fair Buxton	http://premierfairs.co.uk/	2019-12-01	2019-12-01
306674	International Conference on Multidisciplinary Trends in Social Sciences and Business Research	https://anissh.com/conferences/mtsbr-nov-2019/	2019-11-09	2019-11-10
337972	Northampton Marriott Wedding Fair	https://silverlinings.co.uk/wedding-fairs/the-big-northampton-wedding-show/	2020-01-05	2020-01-05
345873	Gordyville Flea Market	http://www.gordyvilleusa.com/gordyvillefleamarkets	2019-11-08	2019-11-10
353825	"Antique, Collectables & Vintage Fairs"	http://www.gjfairs.co.uk/coventry_antiques_collectables_vintage_fairs.html	2019-11-10	2019-11-10
386328	"International Conference on Recent Advances in Science, Engineering and Technology"	http://scienceglobe.org/Conference2019/11/Deheradun/1/ICRAET/	2019-11-10	2019-11-10
388417	"International Conference on Communication, Electronics and Electrical Engineering"	http://issrd.org/Conference2019/11/Goa/ICCEEE/	2019-11-10	2019-11-10
