id	name	website	start_date	end_date
304957	Process Management: Applying Process Mapping to Analyze and Improve Your Operation	https://www.amanet.org/training/seminars/process-management-applying-process-mapping-to-analyze-and-improve-your-operation.aspx	2020-05-18	2020-05-20
312007	Time Management	https://www.amanet.org/training/seminars/time-management.aspx	2020-01-23	2020-01-24
57720	Annual Primary Care Fall Conference	https://www.cmemeeting.org/cme-conferences/maui-hawaii-winter-cme	2020-02-17	2020-02-21
6890	Mercopar Expo	https://mercopar.com.br/	2020-10-06	2020-10-08
191193	Road Scholar Conference	https://montreat.org/events/road-scholar-2019	2019-11-10	2019-11-15
305482	"How to Communicate with Diplomacy, Tact and Credibility"	https://www.amanet.org/how-to-communicate-with-diplomacy-tact-and-credibility/	2019-11-11	2019-11-12
312006	Time Management	http://www.amanet.org/training/seminars/time-management.aspx	2019-12-18	2019-12-19
68026	Expocaipic	http://www.caipic.org.ar/	2019-10-29	2019-10-31
173067	International Conference on Civil Structural and Transportation Engineering	https://iccste.com/	2020-06-13	2020-06-14
378963	World Sterilization Congress	https://wfhss2019thehague.com/	2019-10-30	2019-11-02
7054	Indagra Food	https://www.indagra.ro/en/	2019-10-30	2019-11-03
228586	St Louis Job Fair	https://www.hirelive.com/fair/2044/MO/st-louis/February/13/2020	2020-02-13	2020-02-13
251967	Walnut Creek Job Fair	https://www.hirelive.com/fair/1973/CA/walnut-creek/February/13/2020	2020-02-13	2020-02-13
35576	Construction Financial Management Conference	https://www.agc.org/future-agc-meetings	2020-10-28	2020-10-30
40077	Hardscape North America	https://www.hardscapena.com/attendee/attendee-info/tradeshow	2020-10-21	2020-10-23
156325	International Conference on Nanomaterials - Research & Application	https://www.nanocon.eu/en//	2020-10-14	2020-10-16
211105	Pharmacotherapy Conference	https://www.marshfieldclinic.org/education/ContinuingEducation#conferences	2020-10-02	2020-10-02
210070	Pediatric Conference	https://www.marshfieldclinic.org/education/ContinuingEducation#conferences	2020-04-17	2020-04-17
200863	The Conference for Administrative Excellence	https://officedynamicsconference.com/	2020-10-27	2020-10-30
273138	Backroads Vintage Market- English Garden	https://www.emersoncreek.com/emersons-vintage-market/	2020-06-10	2020-06-10
173520	Fundamentals of Corporate Credit	https://www.moodysanalytics.com/public-courses/fundamentals-of-corporate-credit	2019-12-03	2019-12-06
173586	Structured Finance	https://www.moodysanalytics.com/public-courses/structured-finance-training	2020-03-23	2020-03-25
183637	Street Studios Third Friday Art Walk	https://northcoastpromo.com/2020-show-schedule-contracts/	2020-01-17	2020-01-17
203692	Leading for Equity In Complex Systems	https://nationalequityproject.org/events/california/leading-for-equity	2020-06-18	2020-06-19
302045	Human Resources for Anyone with Newly Assigned HR Responsibilities	https://www.pryor.com/training-seminars/human-resources-newly-assigned-hr-responsibilities/?zip=92108&loc=FL&submit=Submit	2020-01-16	2020-01-16
308602	LEADS Power Networking	http://www.lewisvillechamber.org/events/details/leads-power-networking-11-08-2019-24982	2019-11-08	2019-11-08
186516	Elder Care Asia	https://www.eldercareasia.com/	2019-10-31	2019-11-03
162923	IT Convergence Expo	http://www.itce.kr/kor/	2019-10-30	2019-11-01
225370	"The Scottish Transport Show : For Scotland's transport sector, suppliers and stakeholders"	https://scottishtransportshow.com/	2020-09-15	2020-09-15
385249	Conference V & VN VS	https://www.jaarcongresvenvnvs.nl/	2020-10-01	2020-10-02
421978	Africa Games and Digital Applications Conference & Exhibition	http://africagda.com/	2019-10-31	2019-11-02
387588	Internal Medicine for Primary Care Cardio Endo Gastro ID	https://www.mer.org/conference/MzE1LERlY2VtYmVyLDIwMTk=	2019-12-05	2019-12-08
351358	International Luxury Travel Mart North America	https://www.iltm.com/northamerica/	2020-09-21	2020-09-24
256154	Jobvector Career Day	https://www.jobvector.de/karrieremesse/	2020-10-01	2020-10-01
409448	American Association for Thoracic Surgery Mechanical Support for the Heart and Lung Symposium	https://www.aats.org/aatsimis/AATSWeb/Association/Meetings/Mechanical_Circulatory_Support_Symposium/MCS_2019/AATS_Mechanical_Support__for_the_Heart_and_Lung_Symposium.aspx	2020-02-14	2020-02-15
72616	Data Driven Business London	https://datadrivenbusiness.co.uk/	2020-10-20	2020-10-21
311418	Trunk Show	https://www.essensedesigns.com/stella-york/trunk-shows/?fwp_show_country=usa&fwp_show_area=ga&fwp_location_brand=stella	2019-11-29	2019-11-30
307861	Trunk Show	https://www.essensedesigns.com/stella-york/trunk-shows/?fwp_show_country=usa&fwp_show_area=ga&fwp_location_brand=stella	2019-11-29	2019-11-30
310869	Trunk Show	https://www.essensedesigns.com/stella-york/trunk-shows/?fwp_show_country=usa&fwp_show_area=ga&fwp_location_brand=stella	2019-11-29	2019-11-30
307930	Trunk Show	https://www.essensedesigns.com/stella-york/trunk-shows/?fwp_show_country=usa&fwp_show_area=ky&fwp_location_brand=stella	2019-11-22	2019-11-23
429175	Canalys Cybersecurity Forum	https://www.canalys.com/events/csf	2020-10-07	2020-10-08
386679	CMO ClubHouse	https://thecmoclub.com/events/the-2020-cmo-clubhouse-at-sxsw	2020-03-14	2020-03-14
341932	National Drive Electric Week Event Hyattsville	https://driveelectricweek.org/event.php?eventid=2170	2020-10-03	2020-10-03
58902	International Conference on Networks & Communications	https://www.cseij.org/necom/index.html	2020-02-22	2020-02-23
162978	Personal Financial Planning Conference	https://www.picpa.org/attend-cpe-events/conferences/picpa-personal-financial-planning-conference	2019-11-07	2019-11-07
116804	International Conference on Advanced Computing	https://www.cseij.org/adco/index.html	2020-02-22	2020-02-23
118860	International Conference on Computer Science & Information Technology	https://www.cseij.org/csitec/index.html	2020-02-22	2020-02-23
111697	International Conference on Software Engineering and Applications	https://www.cseij.org/seas/index.html	2020-02-22	2020-02-23
448238	Glasgow Jobs Fair	https://www.thejobfairs.co.uk/	2020-01-10	2020-01-10
431976	Washington State Council for the Social Studies Conference	https://www.wscss.org/k8conference/	2020-02-01	2020-02-01
417979	Microservices Containers & Serverless Day	https://1point21gws.com/devops/sydney/	2019-12-06	2019-12-06
422675	Masterclass for Directors	https://iodglobal.com/events/up-coming-events.html	2019-11-01	2019-11-03
257366	Hue Festival	http://www.huefestival.com/index.php?cat_id=674&id=4083#.XacHK-gzbIU	2020-04-01	2020-04-06
51672	ISH Shanghai & CIHE	https://ishs-cihe.hk.messefrankfurt.com/shanghai/en.html	2020-09-02	2020-09-04
126781	Managing Partners Forum	https://www.managingpartnersforum.com.au/2020eventoverview	2020-02-28	2020-02-29
342417	Great Burlesque Exposition	http://burlesque-expo.com/	2020-04-17	2020-04-19
425902	Sydney Executive PA Summit	https://www.executivepa.com.au/executive-pa-summit/	2020-02-11	2020-02-11
180149	International Conference on Medical Medicine and Health Sciences	https://academicfora.com/mmhs-november-18-19-2019-kuala-lumpur-malaysia/	2019-11-18	2019-11-19
397708	Auckland Executive PA Summit	https://www.executivepa.com.au/executive-pa-summit/	2020-08-18	2020-08-18
250044	International Conference on Business Economics Social Science & Humanities	https://academicfora.com/bessh-kuala-lumpur-malaysia-november-18-19-2019/	2019-11-18	2019-11-19
10247	Luxe Pack Monaco	https://www.luxepack.com/fr/plan-du-site	2020-10-05	2020-10-07
396877	Information Security Network	https://thenetwork-group.com/information-security-network-usa/	2020-10-26	2020-10-27
250427	International Conference on Engineering & Technology Computer Basic & Applied Sciences - Kuala Lumpur	https://academicfora.com/ecba-kuala-lumpur-malaysia-november-18-19-2019/	2019-11-18	2019-11-19
74492	Integrative Medicine for Mental Health	https://www.immh2020.com/	2020-08-20	2020-08-23
