URL,Organizer,Added,Script name,10times Event URL,event_start_month,Crawler Frequency,,,Status
https://s36.a2zinc.net/clients/sme/Fabtech2019/Public/Exhibitors.aspx?_ga=2.232158175.1712883625.1559717322-791202961.1559717322,A2Z Inc,24-06-2019,fabtech.py,https://10times.com/fabtech-chicago,,,,,
https://csc.a2zinc.net/CSC2019/Public/exhibitors.aspx?ID=20599&_ga=2.162946044.1578459660.1560919783-732381466.1560919783,A2Z Inc,24-06-2019,constsuperconfo.py,https://10times.com/construction-super,,,,,
https://iss.a2zinc.net/LongBeach2019/Public/exhibitors.aspx?ID=15507&_ga=2.231236058.414603764.1560919936-253241350.1560919936,l-scroll-left,24-06-2019,iss.py,https://10times.com/imprinted-sportswear-longbeach,,,,,
https://east.visionexpo.com/Show-Floor/Exhibitors/#search=d%3D%26rpp%3D12,Reed Exhibition,27-06-2019,vision.py,https://10times.com/international-vision-east,,,,,
https://www.tasc-expo.com/vis/v1/en/directory/a?oid=21016&lang=2,Messe Düsseldorf GmbH ,1/7/2019,tasc.py,https://10times.com/automotive-glass-smart-repair-and-car-detailing,,,,,
https://www.caravan-salon.com/en/Exhibitors_Products/Exhibitor_Index_A-Z,Messe Düsseldorf GmbH ,1/7/2019,carvan.py,https://10times.com/caravan-salon,,,,,
https://www.tournatur.com/vis/v1/de/directory/b?oid=6966&lang=1,Messe Düsseldorf GmbH ,1/7/2019,tour.py,https://10times.com/tour-natur,,,,,
https://www.k-online.com/vis/v1/en/directory/b?oid=87922&lang=2,Messe Düsseldorf GmbH ,1/7/2019,k.py,https://10times.com/k-plastics-rubber/exhibitors?pp,,,,,
https://s23.a2zinc.net/clients/pba/cosmoprof2019/Public/Exhibitors.aspx?Index=All&ID=8707&sortMenu=102000,A2Z Inc,1/7/2019,comsoprof.py,https://10times.com/cosmoprof-north-america,,,,,
https://s15.a2zinc.net/clients/isa/isa2019/Public/Exhibitors.aspx?Index=All,A2Z Inc,1/7/2019,signexpo.py,https://10times.com/isa-international-sign-expo,,,,,
https://s23.a2zinc.net/clients/ibie/ibie2019/Public/Exhibitors.aspx?Index=All,A2Z Inc,1/7/2019,ibie.py,https://10times.com/international-bakingindustry-exposition,,,,,
https://s23.a2zinc.net/clients/WPA/SZ2019/Public/Exhibitors.aspx?Index=All,A2Z Inc,1/7/2019,superzoo.py,https://10times.com/superzoo/exhibitors,,,,,
https://s23.a2zinc.net/clients/mciusa/sla2019/public/MainHall.aspx?ID=437&sortMenu=101000,A2Z Inc,1/7/2019,sla.py,https://10times.com/sla-conference-cleveland,,,,,
https://www.aapexshow.com/attendee/expo/exhibitor-search/,A2Z Inc,9/7/2019,aapex.py,https://10times.com/aapex,Nov,Aug,Sep,Oct,count=1348
https://s23.a2zinc.net/clients/corcexpo/naco2019/Public/Exhibitors.aspx?Index=All&ID=3512&sortMenu=103000,A2Z Inc,10/7/2019,naco.py,https://10times.com/naco-conference-and-exposition-las-vegas,,,,,
https://s23.a2zinc.net/clients/CorcExpo/AOSSM2019/Public/Exhibitors.aspx?Index=All&ID=2721&sortMenu=102001,A2Z Inc,10/7/2019,aossm.py,https://10times.com/aossm-boston,,,,,
https://s36.a2zinc.net/clients/iaam/vc2019/Public/enter.aspx,A2Z Inc,10/7/2019,ivam.py,https://10times.com/venueconnect-annual-conference-and-trade-show,,,,,
https://s23.a2zinc.net/clients/CorcExpo/ENA2019/public/Exhibitors.aspx?Index=All,A2Z Inc,12/7/2019,ena.py,https://10times.com/ena-emergency-nursing,Sep,Jun,Jul,Aug,count=182
https://s23.a2zinc.net/clients/nrwa/wp19/Public/Exhibitors.aspx?Index=All,A2Z Inc,12/7/2019,waterpro.py,https://10times.com/waterpro-conference-nashville,Sep,Jun,Jul,Aug,count=90
https://drone.a2zinc.net/InterDrone2019/public/exhibitors.aspx?Index=All&ID=18945&sortMenu=101002,A2Z Inc,12/7/2019,interdrone.py,https://10times.com/interdrone,Sep,Jun,Jul,Aug,count=54
https://s23.a2zinc.net/clients/kpg/Toronto2019/Public/Exhibitors.aspx?Index=All,A2Z Inc,12/7/2019,imats.py,https://10times.com/imats-toronto,Sep,Jun,Jul,Aug,count=34
https://s23.a2zinc.net/clients/ClarionUX/PhillyGiftSummer2019/Public/exhibitors.aspx?Index=All,A2Z Inc,12/7/2019,giftshow.py,https://10times.com/philadelphia-giftshow,,,,,count=217
https://jewelry.a2zinc.net/JASummer2019/Public/exhibitors.aspx?Index=All,A2Z Inc,12/7/2019,janewyork.py,https://10times.com/ja-newyork-summershow,,,,,count=294
https://nss.a2zinc.net/NSSSummer2019/Public/exhibitors.aspx?Index=All,A2Z Inc,12/7/2019,nss.py,https://10times.com/national-stationary-show,,,,,count=93
https://s23.a2zinc.net/clients/corcexpo/ascm2019/Public/Exhibitors.aspx?Index=All,A2Z Inc,15-07-2019,ascm.py,https://10times.com/apics-lasvegas/exhibitors,Sep,Jun,Jul,Aug,
https://www.medicalfair-thailand.com/exhibitors.html,Messe Düsseldorf GmbH ,19-07-2019,medicalfair.py,https://10times.com/medical-fair-thailand,Sep,Jun,Jul,Aug,
https://pizza.a2zinc.net/artisanbakery2020/Public/exhibitors.aspx?,A2Z Inc,19-07-2019,pizzaexpo.py,https://10times.com/iabe-las-vegas,Mar,Dec,Jan,Feb,count=23
https://pizza.a2zinc.net/PizzaExpo2020/Public/exhibitors.aspx?Index=All,A2Z Inc,19-07-2019,pizza.py,https://10times.com/international-pizza-expo,Mar,Dec,Jan,Feb,count=372
https://pizza.a2zinc.net/PPNE2019/Public/exhibitors.aspx?Index=All,A2Z Inc,19-07-2019,pizzapasta.py,https://10times.com/pizzaandpastaexpo,,,,,count=171
https://www.aimex.com.au/for-visitors/exhibitor-directory/#search=lo%3D0%26rpp%3D64%26startRecord%3D257,Reed Exhibition,22-07-2019,amiex.py,https://10times.com/asia-pacific-mining,,,,,count=327
https://www.pgalasvegas.com/en/Show-Information/Exhibitor-List/?lo=0&rpp=129&startRecord=193#,,,,,,,,,
https://chem19.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=13369CHEM,Mapyourshow,21-08-2019,chem19.py,https://10times.com/chem-show,Oct,Jul,Aug,Sep,count=198
https://nabny20.mapyourshow.com/8_0/explore/exhibitor-alphalist.cfm?alpha=*#/,Mapyourshow,21-11-2019,,,,,,,
https://ahm20.mapyourshow.com/8_0/explore/exhibitor-alphalist.cfm#/,Mapyourshow,21-11-2019,,,,,,,
https://apa20.mapyourshow.com/8_0/explore/exhibitor-alphalist.cfm#/,Mapyourshow,21-11-2019,,,,,,,
https://packeast20.mapyourshow.com/8_0/explore/exhibitor-alphalist.cfm#/,Mapyourshow,21-11-2019,,,,,,,
