Event ID	Event Name	Website	Start-End Date
145345	Staffordshire Wedding Show	https://whoopwest.com/shows	29 - 29 Mar 2020
306230	Madchen Klamotte Mulheim	https://maedchenklamotte.de/	12 - 12 Jan 2020
307745	Madchen Klamotte Witten	https://maedchenklamotte.de/	16 - 16 Feb 2020
326011	Bride Fayre	http://www.bridefayre.com/Venues/Alfreton_Hall/alfreton_hall.html	19 - 19 Jan 2020
131155	Slidell Newcomers Sell-A-Bration Arts & Crafts Show	http://sell-a-brationcraftshow.webs.com/	10 - 11 Oct 2020
279455	Natchez Gun Show	http://www.mississippigunshows.com/	10 - 11 Oct 2020
305618	Boligmesse Skien	https://boligmesse.no/nb/messeoversikt-2020/	9 - 11 Oct 2020
305234	Coltsfoot Country Retreat Wedding Show	https://www.mainweddingsandevents.co.uk/Hertfordshire-Wedding-Shows/Coltsfoot-Country-Retreat-Wedding-Show/	29 - 29 Mar 2020
32644	Toy Fair Stafford	http://www.barrypotterfairs.com/fairs.php?fair=19	15 - 15 Dec 2019
69563	Wedding Fayres Eastleigh	http://www.weddingexhibitionpromotions.co.uk/Novotel_Southampton.html	3 - 3 Nov 2019
71625	North Florida Gun & Knife Show Tallahassee	https://northfloridagunshows.com/tallahassee/	14 - 15 Nov 2019
72350	The Wedding Fayre Essex	https://theweddingfayre.net/	19 - 19 Jan 2020
107260	Oklahoma Gun Shows	http://oklahomagunshows.com/Gun-Shows/Oklahoma-Gun-Shows.asp	30 Nov - 1 Dec 2019
112650	Central Indiana Gun & Knife Show	http://www.centralindianagunshows.com/show-dates--info.html	14 - 15 Dec 2019
187336	Gun & Knife Show Greenville	https://www.scgunshows.com/greenville-show	21 - 22 Dec 2019
230702	Midland Coin Fair	https://www.coinfairs.co.uk/events/midland-show-2019-10-13/	10 - 10 Nov 2019
235906	Kinver Antiques Collectors & Vintage Fair	https://roman-fairs7.webnode.com/look-book/	10 - 10 Nov 2019
244332	West Suburban Coin Show And Collectible Expo	http://www.westsuburbancoinshow.com/	10 - 10 Nov 2019
251871	Wedding Fayre	http://www.weddingfayreslancashire.com/	16 - 16 Feb 2020
272657	Chatham Militaria Fairs	http://www.chathammilitariafairs.co.uk/index.php?	10 - 10 Nov 2019
275765	Street Coin Show Indianapolis	https://fubacoins.com/pages/coin-shows	10 - 10 Nov 2019
278934	Greater Atlanta Coin Show	http://atlcoin.com/Monthly-Greater-Atlanta-Coin-Show-Dates.html	10 - 10 Nov 2019
283802	Toy Fairs	https://srptoyfairs1.co.uk/	10 - 10 Nov 2019
299130	Premier Music Fair Buxton	http://premierfairs.co.uk/	1 - 1 Dec 2019
337972	Northampton Marriott Wedding Fair	https://silverlinings.co.uk/wedding-fairs/the-big-northampton-wedding-show/	5 - 5 Jan 2020
345873	Gordyville Flea Market	http://www.gordyvilleusa.com/gordyvillefleamarkets	8 - 10 Nov 2019
353825	Antique, Collectables & Vintage Fairs	http://www.gjfairs.co.uk/coventry_antiques_collectables_vintage_fairs.html	10 - 10 Nov 2019
386328	International Conference on Recent Advances in Science, Engineering and Technology	http://scienceglobe.org/Conference2019/11/Deheradun/1/ICRAET/	10 - 10 Nov 2019
388417	International Conference on Communication, Electronics and Electrical Engineering	http://issrd.org/Conference2019/11/Goa/ICCEEE/	10 - 10 Nov 2019
388425	International Conference on Recent Developments in Computer & Information Technology	http://issrd.org/Conference2019/11/Goa/ICRDCIT/	10 - 10 Nov 2019
388433	Asian Conference on Recent Advances in Science, Engineering and Technology	http://issrd.org/Conference2019/11/Goa/ACRASET/	10 - 10 Nov 2019
389643	International Conference on Communication Electronics and Electrical Engineering	http://issrd.org/Conference2019/11/Hyderabad/1/ICCEEE/	10 - 10 Nov 2019
389648	International Conference on Recent Developments in Computer & Information Technology	http://issrd.org/Conference2019/11/Hyderabad/1/ICRDCIT/	10 - 10 Nov 2019
389650	International Conference on Recent Developments in Social Science and Business Management	http://issrd.org/Conference2019/11/Hyderabad/1/ICRDSSBM/	10 - 10 Nov 2019
19777	Bionazur Exhibition	https://www.bionazur.com/	15 - 17 May 2020
75341	Healing & Spirituality	https://www.natuerlichlebenkoeln.de/	24 - 25 Oct 2020
75340	Natural Life Cologne Bergisch Gladbach	https://www.natuerlichlebenkoeln.de	25 - 26 Apr 2020
201965	The alternative fair for Health & Wellness, Spirituality & Mysticism	https://www.natuerlichlebenkoeln.de/messe/	25 - 26 Apr 2020
191761	Discover Dolls Shows	https://www.thedollshow.co.uk/	13 - 14 Jun 2020
198862	Soft Air Fair	https://www.softair-fair.com/dove.html?jjj=1571004273158	15 - 16 Feb 2020
267619	Union Grove Gun Show	https://bobandrocco.com/events	15 - 17 May 2020
328330	International Conference on Recent Advances in Engineering Science and Technology	http://ifiad.in/Conference/2020/Dec/13th-Chandigarh-ICRAEST/index.html	13 - 13 Dec 2020
328625	International Conference on Current Trends in Engineering and Technology	http://ifiad.in/Conference/2020/Sep/6th-Mumbai-ICCTET/index.html?eventname=International	6 - 6 Sep 2020
328632	International Conference on Computer Science, Mechanical, Biomedical, Electronics and Electrical Engineering (ICCMBEEE)	http://ifiad.in/Conference/2020/Dec/13th-Coimbatore-ICCMBEEE/index.html	13 - 13 Dec 2020
328633	International Conference on Current Trends in Engineering and Technology (ICCTET)	http://ifiad.in/Conference/2020/Dec/13th-Lonavala-ICCTET/index.html	13 - 13 Dec 2020
23729	Verona Wedding	http://www.fieresposi.it/calendario/	1 - 2 Feb 2020
33862	The Tatton Park Antiques & Fine Art Fair	http://www.cooperevents.com/chester/	7 - 7 Feb 2020
69566	Wedding Fair Winchester	http://www.weddingexhibitionpromotions.co.uk/Meon_Valley_Marriot_Hotel.html	3 - 3 Nov 2019
102459	Bridal Showcase Medicine Hat	https://www.welcomewagon.ca/bridetobe#anchor_select	17 - 17 Nov 2019
121318	Glendale Heights Military Collectibles Show	http://www.militarypromotions.info	1 - 1 Dec 2019
198391	Antikmarkt Bremen	https://www.retro-vintage-antikmarkt.de/	17 - 17 Nov 2019
297029	Everything But The Garage Sale	http://www.everythingbutthegarage.com/	25 - 26 Apr 2020
301062	Lady Fashion Floh Markt Rostock	https://www.ladyfashion-flohmarkt.de/location/rostock/	19 - 19 Apr 2020
306408	Hosen Scheisser FlohMarkt Rostock	https://www.hosenscheisser-flohmarkt.de/location/rostock/	19 - 19 Apr 2020
302425	Payroll Law	https://www.pryor.com/training-seminars/payroll-law/?zip=98101&loc=CA&submit=Submit	13 - 13 Nov 2019
304497	Oak Creek Arts and Crafts Show	http://www.oakcreekartsandcraftsshow.com/shows/	8 - 10 Nov 2019
325369	Fancy Goods	https://volgogradexpo.ru/exhibitions/	27 Nov - 1 Dec 2019
353350	Antique & Artisan Fairs	http://lakesfashionandcollectables.co.uk/events/4586314205	6 - 8 Mar 2020
414284	International Conference on Medical Pharmaceutical and Health Sciences	http://gsrd.co/Conference2019/11/Hungary/ICMPH/	11 - 12 Nov 2019
259006	Molkereikongress and Expo	https://www.conferencegroup.de/kongresse/lebensmittel-ernaehrung/molkereikongress-2020	18 - 19 Feb 2020
433088	International Conference on Chemical, Agricultural, Biological and Environmental Sciences	http://gsrd.co/Conference2019/11/Hungary/ICCABES/	11 - 12 Nov 2019
390089	International Conference on English Literature and Linguistics	https://www.researchfora.net/event/index.php?id=1017749	12 - 12 Dec 2019
162723	Salon Atlantica	https://www.salon-atlantica.fr/	13 - 15 Oct 2020
390087	International Conference on Geological and Environmental Sustainability	https://www.researchfora.net/event/index.php?id=1017746	12 - 12 Dec 2019
197378	Bpf Dinner	https://www.bpf.co.uk/events/bpf_annual_dinner/bpf-annual-dinner-15-october-2020.aspx	15 - 15 Oct 2020
390088	International Conference on Institutional Development, Business Law and Social Science Research	https://www.researchfora.net/event/index.php?id=1017747	12 - 12 Dec 2019
230186	MENA Health Insurance Congress	https://www.maarefah-management.com/events/6th-annual-mena-health-insurance-congress-2020/custom-116-0ddcacb4c49e4a9ba73c8ba094b0ce9e.aspx	29 - 30 Sep 2020
243839	International Conference on Recent Innovations in Engineering and Technology	http://iserd.co/Conference2020/Egypt/1/ICRIET/	12 - 13 May 2020
243633	International Conference on Environment and Natural Science	http://iserd.co/Conference2020/Egypt/1/ICENS/	12 - 13 May 2020
243620	International Conference On Chemical And Biochemical Engineering	http://iserd.co/Conference2020/Egypt/1/ICCBE/	12 - 13 May 2020
447187	International Conference on Economics and Business Management	http://iastem.org/Conference2020/Brunei/1/ICEBM/	11 - 12 Jan 2020
159754	The It Security Expo And Congress	https://www.it-sa.de/	6 - 8 Oct 2020
343127	Regional Home & Garden Show	http://www.hbatc.com/events/regional-home-and-garden-show.html#bf_miniCal_180	21 - 23 Feb 2020
447188	International Conference on Environment and Natural Science	http://iastem.org/Conference2020/Brunei/1/ICENS/	11 - 12 Jan 2020
368872	Savant Supply Chain Congress	https://www.savant-events.com/event/ssc2020-2-2/	6 - 7 May 2020
447190	International Conference on Mechanical and Aerospace Engineering	http://iastem.org/Conference2020/Brunei/1/ICMAE/	11 - 12 Jan 2020
357784	Lincolnshire Farming Conference	https://lincolnshireshowground.co.uk/whats-on/event/lincolnshire-farming-conference	11 - 11 Feb 2020
422560	Project Management Professional 4-days Bootcamp in Mexico City, CDMX	https://www.certificationplanner.com/APM/Project-Management-Professional-(PMP)/ICT/Calgary/12/2/107	5 - 8 Nov 2019
447193	International Conference on Chemical and Biochemical Engineering	http://www.iserd.co	26 - 27 Dec 2019
414715	Perishables Logistics Africa	https://www.logupdateafrica.com/pla2019/	24 - 24 Oct 2019
422551	Project Management Professional 4-days Bootcamp in Norfolk, VA	https://www.certificationplanner.com/APM/Project-Management-Professional-(PMP)/ICT/Albany/12/1/1	29 Oct - 1 Nov 2019
353343	Milling Wheat Conference	https://ahdb.org.uk/mwc	27 - 27 Feb 2020
236145	Saboten Con	http://www.sabotencon.com/about.html	4 - 7 Sep 2020
433744	Lean Six Sigma Black Belt 4-days Bootcamp in Colorado Springs	http://www.certificationplanner.com	29 Oct - 1 Nov 2019
422561	Project Management Professional 4-days Bootcamp in Chihuahua, CHIH	https://www.certificationplanner.com/APM/Project-Management-Professional-(PMP)/ICT/Calgary/12/2/107	5 - 8 Nov 2019
447202	Technology Engineering Security Clearance Career Fair	https://dhigroupinc.com/home/default.aspx	16 - 16 Oct 2019
434451	Lean Six Sigma Green Belt 4-days Bootcamp in Greenville	http://www.certificationplanner.com	29 Oct - 1 Nov 2019
55800	World Congress Leadership Summit on Medicaid Managed Care	https://www.worldcongress.com/events/HL20072/index.cfm?confCode=HL20072	25 - 26 Feb 2020
351858	Nigeria Education Fair in Abuja FCT	https://educationfair.com.ng/nigeria-education-fair-2020/	21 - 21 Jan 2020
296051	Egyptian Congress Of Pediatric Pulmonology	http://egyptiancpp.org/	9 - 12 Jun 2020
297393	Gratz Fair	https://gratzfair.net/	20 - 26 Sep 2020
238550	Metcalfe Fair	http://www.metcalfefair.com/about/	1 - 4 Oct 2020
422359	Project Management Professional 4-days Bootcamp in Philadelphia, PA	https://www.certificationplanner.com/APM/Project-Management-Professional-(PMP)/ICT/Albany/12/1/1	29 Oct - 1 Nov 2019
206625	FEI Toronto Chapter Dinner Meeting	https://www.feicanada.org/events#3052/TOR%20EVENT%2010/30/19	30 - 30 Oct 2019
419300	International Forum Exhibition Transport of the Urals	https://bvkexpo.ru/category/kalendar/vystavki/?yearr=2020	24 - 27 Sep 2020
22625	Shenandoah Antiques Expo	https://heritagepromotions.net/events.htm	8 - 9 May 2020
422276	Project Management Professional 4-days Bootcamp in Honolulu, HI	https://www.certificationplanner.com/APM/Project-Management-Professional-(PMP)/ICT/Albany/12/1/1	5 - 8 Nov 2019
390422	Expo Minas	https://www.hjbecdachferias.com/index.php/ferias/expo-minas	15 - 17 Apr 2020
394086	Intellus Worldwide Summit	https://www.intellus.org/Events-Webinars/Summit-2019/Sponsor	29 Apr - 1 May 2020
125787	Autumn Fair Food in Pleasure	https://www.sivel.spb.ru/meropriyatiya	30 Sep - 4 Oct 2020
422566	Project Management Professional 4-days Bootcamp in Fargo, ND	https://www.certificationplanner.com/APM/Project-Management-Professional-(PMP)/ICT/Calgary/12/2/107	5 - 8 Nov 2019
154641	Ascot Fashion Weekend	http://www.ukgrandsales.co.uk/Summer-Really-Good-Deal-Fashion-Sale-Ascot-Racecourse.aspx?id=39&Year=2020	15 - 16 May 2020
434286	Lean Six Sigma Green Belt 4-days Bootcamp in Bismarck	http://www.certificationplanner.com	29 Oct - 1 Nov 2019
421937	Kuwait Housing & Residential Development	https://www.iqpc.com/events-housingkuwait?utm_medium=portal&mac=IQPCCORP	21 - 22 Oct 2019
447075	International Driverless Vehicle Summit	https://idvs4.com.au/	27 - 29 Oct 2019
422220	Project Management Professional 4-days Bootcamp in Miami, FL	https://www.certificationplanner.com/APM/Project-Management-Professional-(PMP)/ICT/Albany/12/1/1	29 Oct - 1 Nov 2019
399735	Healthscape Summit Indo Africa	https://www.ide-global.com/#events	21 - 22 Oct 2019
303501	Trunk Show Orlando	https://www.essensedesigns.com/martina-liana/trunk-shows/?fwp_show_country=usa&fwp_show_area=fl&fwp_location_brand=martina	17 - 18 Jan 2020
338607	Lewes Book Fairs	https://www.pawsandclaws-ars.org.uk/bookfair.php#	18 - 18 Jan 2020
351339	Clearwater Record Show	http://www.clearwaterrecordshow.com/	9 - 9 Nov 2019
433790	Lean Six Sigma Black Belt 4-days Bootcamp in San Francisco	http://www.certificationplanner.com	29 Oct - 1 Nov 2019
21731	Care Show Birmingham	https://www.careshow.co.uk/	14 - 15 Oct 2020
422564	Project Management Professional 4-days Bootcamp in Guadalupe, NAY	https://www.certificationplanner.com/APM/Project-Management-Professional-(PMP)/ICT/Calgary/12/2/107	5 - 8 Nov 2019
437360	Africalics Conference	https://2019.africalics.org/	22 - 24 Oct 2019
