Event ID	Event Name	Website	Start-End Date
280118	Craft Market	http://www.altoncraftmarket.co.uk/dates.htm	9 - 9 Nov 2019
950	Autumn Show & Game Fair	https://www.seas.org.uk/autumn-show/#	3 - 4 Oct 2020
218393	Record and Cd Fairs Coventry	https://www.vinylbank.co.uk/fairinfo.php?fid=705	7 - 7 Dec 2019
275934	Tavistock Farmers Market	http://www.tavistockfarmersmarket.com/marketcalendar.php	9 - 9 Nov 2019
282539	Hampshire Farmers Market Alton	https://www.hampshirefarmersmarkets.co.uk/market-locations/?market=1	9 - 9 Nov 2019
297116	Premier Music Fairs York	http://premierfairs.co.uk/	7 - 7 Dec 2019
330005	Toy Fairs	http://srptoyfairs1.co.uk/	30 - 30 Nov 2019
358970	Leeds Record and Book Fair	https://www.leedsrecordandbookfair.com/2018-fairs/	9 - 9 Nov 2019
222406	Pbfa Book Fair Sherborne	https://www.pbfa.org/fairs/sherborne-2	11 - 11 Apr 2020
176503	Provincial Booksellers Fairs Association Book Fair Sherborne	https://www.pbfa.org/fairs/sherborne-2	11 - 11 Apr 2020
309084	Postcard Fair - Clive Baker	http://postcard.co.uk/fair_organiser.php?ref=177	14 - 14 Dec 2019
320738	Artisan Crafts Vintage & Gift Fair	https://www.eventissima.co.uk/	9 - 9 Nov 2019
330988	Madchen Klamotte Aachen	https://maedchenklamotte.de/	17 - 17 May 2020
205088	Toy, Hobby, Nascar & Sports Show	http://www.insidepitchpromotions.com/schedule.htm	4 - 4 Jan 2020
208719	Youth Education & Travel Fairs	https://jugendbildungsmesse.de/jubi-standorte/auslandsjahr-stuttgart-baden-wuerttemberg/	18 - 18 Jan 2020
283659	Townsend Toy & Train Fair	http://tttf.co.uk/	30 - 30 Nov 2019
303500	Trunk Show Walnut Creek	https://www.essensedesigns.com/martina-liana/trunk-shows/?fwp_show_country=usa&fwp_show_area=ca&fwp_location_brand=martina	24 - 25 Jan 2020
304099	Trunk Show Addison	https://www.essensedesigns.com/martina-liana/trunk-shows/?fwp_show_country=usa&fwp_show_area=tx&fwp_location_brand=martina	10 - 11 Jan 2020
327270	Trunk Show Rockville Centre	https://www.essensedesigns.com/martina-liana/trunk-shows/?fwp_show_area=ny&fwp_location_brand=martina	1 - 2 Nov 2019
328470	Madchen Klamotte Hamburg	http://maedchenklamotte.de/termine-hamburg/	9 - 9 Nov 2019
401247	Conference of Indian Orthopaedic Association	http://ioacon2019.com/index.php	19 - 24 Nov 2019
326398	Neuro Leadership Summit	https://summit.neuroleadership.com/program/	19 - 20 Nov 2019
174799	International Future Mining Conference	http://futuremining.ausimm.com/	19 - 20 Nov 2019
313961	Flower Garden	http://expo.vn.ua/ua/exibitions/vystavki/	1 - 4 Apr 2020
313687	Fashion Salon	http://expo.vn.ua/ua/exibitions/vystavki/111/03-02-2020/	3 - 6 Feb 2020
331899	Edinburgh Farmers Market	https://www.edinburghfarmersmarket.co.uk/location/	2 - 2 Nov 2019
349954	Lead Like a Girl Conference	https://www.stuartschool.org/academics/leadlikeagirl-conference/leadlikeagirl-live	4 - 4 Apr 2020
347297	KreativAll Wiesbaden	http://www.kreativ-wiesbaden.de/	21 - 24 May 2020
304148	Payroll Management and Effective Payroll Controls	http://www.euromatech.com/seminars/payroll-managementeffective-payroll-controls/	22 - 26 Dec 2019
372480	Techorama	https://techorama.nl/	5 - 7 Oct 2020
385902	Zoholics Vietnam	https://events.zoho.com/Zoholics-Vietnam2020	9 - 9 Mar 2020
446926	NIA Fall Summit	https://insulation.org/events/calendar/	4 - 5 Nov 2020
446917	NIA Annual Convention	https://insulation.org/events/calendar/	17 - 19 Mar 2021
446844	HOBY State Leadership Seminar	https://www.hoby.org/programs/state-leadership-seminars/	18 - 21 Jun 2020
446947	Food Claims Conference	https://insightevents.dk/events/foedevareanprisninger/	29 - 29 Jan 2020
446867	Digitization in Sales Seminar	https://www.mci.edu/de/weiterbildung/seminare/digitalisierung-im-vertrieb	12 - 13 May 2020
446806	SDMS Annual Conference	https://eventmobi.com/sdms2020/infobooth/70445e2f-8373-4836-8b49-663981f509b2/12ebfe27-4bce-476f-84c4-d4a6ae5d894f	14 - 17 Oct 2021
446850	FICPI Korean Symposium	https://ficpi.org/events-and-training/events/ficpi-korean-symposium-2020	22 - 24 Apr 2020
233600	Funeraire Paris	https://www.salon-funeraire.com/	20 - 22 Nov 2019
395058	International Conference on Industrial Engineering and Technology Management	http://www.icietm.org/	25 - 27 Oct 2019
408846	Workshop on Electronics Communication Engineering	http://www.wece.org/location.html	25 - 27 Oct 2019
441648	National Library Research Symposium	http://www.natlib.lk/sympo_2019/confpro/index.html	31 - 31 Oct 2019
266203	Edinburgh Wine Tasting Day	https://www.wineunearthed.co.uk/wine-tasting-days-courses/wine-tasting-edinburgh/	23 - 23 Nov 2019
380302	IndiaJoy	https://www.indiajoy.in/	20 - 23 Nov 2019
280243	Nexus Toy Fair	https://www.perthtoyfair.com	18 - 18 Jan 2020
275753	Twin Oaks Sports Card and Collectible Shows Portland	http://www.twinoaksshows.com/	9 - 9 Nov 2019
183637	Street Studios Third Friday Art Walk	https://northcoastpromo.com/event/78th-street-studios/?instance_id=9	18 - 18 Oct 2019
424333	WA Clean Energy Forum	https://www.cleanenergycouncil.org.au/events/western-australia-clean-energy-forum	21 - 21 Nov 2019
391242	International Conference on Drug Discovery, Development and Lead Optimization	https://unitedscientificgroup.com/conferences/drug-discovery/	21 - 23 Nov 2019
363847	RegTech Expo	https://regtechexpo.co.uk/	21 - 21 Nov 2019
424019	Global Digital Transformation Strategy Summit	https://di-gi-tal.com/	21 - 22 Nov 2019
378129	Data Natives	https://datanatives.io/conference/	25 - 26 Nov 2019
338973	NavTech Days Conference	https://navtechdays.com/venue	21 - 22 Nov 2019
106575	Kent Construction Expo	http://www.kentconstructionexpo.com	1 - 1 Oct 2020
225918	VAC	https://www.vacevents.com	8 - 8 Oct 2020
365016	Societa Oftalmologica Italiana National Congress	https://www.congressisoi.com/informazioni_generali.php?id_congresso=19	20 - 23 Nov 2019
128810	Enrolled Nurses Conference - Melbourne	https://www.ausmed.com.au/course/registration-3628	16 - 17 Dec 2019
414759	Capital Markets Technology & Innovation Conference	https://www.afme.eu/Events/Detail?eventId=45421bbc-444a-e911-a973-002248072abd	21 - 22 Nov 2019
398393	Inside Housing Communications Conference	https://www.insidehousing.co.uk/communications-conference	21 - 21 Nov 2019
376792	CDO Innovation Summit	https://www.questexevent.com/chief-digital-officer-innovation-summit/2019/hongkong	21 - 21 Nov 2019
38659	Translating And The Computer	https://www.asling.org/tc41/?page_id=455	21 - 22 Nov 2019
394315	Conference of Expert Minds in Alicante	https://www.mentesexpertas.com/ciudades/alicante/	21 - 21 Nov 2019
375234	IDC Health Forum	https://www.idc.com/cee/events/66433-idc-health-forum#category_58	21 - 21 Nov 2019
